epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.96,1.1773,3.32353,1.54392,0.39955,0.49052,0.5207,0.32962,1.25173,3.8205,1.57723,0.000248794,0.000248794,0.000248794
2,238.628,1.03998,1.84516,1.40072,0.63173,0.45538,0.53758,0.3264,1.28871,2.4989,1.63095,0.000500127,0.000500127,0.000500127
3,347.35,1.06739,1.50335,1.40086,0.43577,0.49098,0.43358,0.24663,1.42924,2.81611,1.77367,0.000746384,0.000746384,0.000746384
4,449.056,1.10746,1.41334,1.44061,0.60299,0.52296,0.5425,0.30895,1.42892,1.91949,1.90321,0.000746161,0.000746161,0.000746161
5,521.232,1.1006,1.38025,1.4164,0.73147,0.51667,0.57979,0.34135,1.46691,2.72854,1.83506,0.000738548,0.000738548,0.000738548
6,593.573,1.08805,1.36213,1.41999,0.64435,0.54293,0.60186,0.35518,1.37901,1.67647,1.74334,0.000730935,0.000730935,0.000730935
7,667.753,1.08531,1.24168,1.40212,0.70126,0.47822,0.55575,0.29107,1.58077,1.7361,1.8744,0.000723321,0.000723321,0.000723321
8,743.538,1.03815,1.17811,1.36031,0.71813,0.46869,0.58655,0.3185,1.36493,1.80029,1.72552,0.000715708,0.000715708,0.000715708
9,813.486,1.01374,1.13139,1.34758,0.72347,0.47879,0.57047,0.33585,1.28898,1.73971,1.63313,0.000708095,0.000708095,0.000708095
10,873.752,1.03248,1.14054,1.36514,0.60382,0.6435,0.66172,0.39269,1.37126,1.35823,1.60533,0.000700482,0.000700482,0.000700482
11,944.488,0.99573,1.08799,1.32378,0.78089,0.49596,0.64457,0.37992,1.36564,1.54779,1.65949,0.000692869,0.000692869,0.000692869
12,1011.3,0.97915,1.05949,1.32976,0.79353,0.59747,0.68398,0.41194,1.37624,1.382,1.61403,0.000685256,0.000685256,0.000685256
13,1081.97,0.95992,0.96213,1.27574,0.53748,0.49514,0.51957,0.30499,1.43413,1.63822,1.67671,0.000677643,0.000677643,0.000677643
14,1141.14,0.92198,0.95957,1.2836,0.67578,0.53347,0.57809,0.34923,1.35279,1.67665,1.65239,0.00067003,0.00067003,0.00067003
15,1200.34,0.94209,0.95856,1.31212,0.82463,0.53434,0.70285,0.41532,1.31833,1.5501,1.64951,0.000662417,0.000662417,0.000662417
16,1256.59,0.872,0.89364,1.25712,0.51101,0.55303,0.55443,0.33969,1.38372,1.88753,1.65087,0.000654804,0.000654804,0.000654804
17,1317.33,0.88321,0.89437,1.25001,0.80295,0.58838,0.6174,0.38697,1.27888,1.79583,1.57214,0.00064719,0.00064719,0.00064719
18,1379.27,0.86174,0.84831,1.24849,0.48406,0.53384,0.53886,0.33028,1.34265,1.89171,1.64581,0.000639577,0.000639577,0.000639577
19,1436.63,0.86493,0.83754,1.23263,0.75643,0.53022,0.60641,0.38236,1.28469,1.38061,1.54601,0.000631964,0.000631964,0.000631964
20,1485.27,0.86445,0.83336,1.25036,0.70062,0.60243,0.6274,0.39734,1.16664,1.4408,1.5353,0.000624351,0.000624351,0.000624351
21,1540.66,0.83978,0.78143,1.22393,0.72312,0.54293,0.64147,0.41631,1.19956,1.39006,1.51039,0.000616738,0.000616738,0.000616738
22,1596.48,0.83193,0.78365,1.22631,0.66585,0.59474,0.6575,0.43278,1.21673,1.43868,1.51833,0.000609125,0.000609125,0.000609125
23,1653.8,0.81182,0.75562,1.20073,0.53224,0.56333,0.51907,0.31706,1.31827,2.02109,1.67807,0.000601512,0.000601512,0.000601512
24,1703.81,0.80125,0.74724,1.21428,0.70726,0.52475,0.62999,0.4127,1.23449,1.52025,1.58594,0.000593899,0.000593899,0.000593899
25,1757.94,0.82983,0.76651,1.22719,0.70555,0.52671,0.57052,0.33907,1.36992,1.68782,1.73815,0.000586286,0.000586286,0.000586286
26,1815.56,0.76996,0.71082,1.17986,0.73372,0.56354,0.67953,0.43762,1.26898,1.40839,1.56857,0.000578672,0.000578672,0.000578672
27,1871.94,0.81145,0.72312,1.19691,0.56078,0.39495,0.44844,0.27131,1.36004,2.12716,1.70545,0.000571059,0.000571059,0.000571059
28,1919.61,0.74824,0.71664,1.17283,0.66236,0.47648,0.51843,0.31817,1.36679,1.82094,1.62286,0.000563446,0.000563446,0.000563446
29,1973.98,0.75692,0.69249,1.18649,0.62558,0.48737,0.56316,0.33789,1.38022,1.71476,1.77803,0.000555833,0.000555833,0.000555833
30,2029.65,0.7443,0.68291,1.17153,0.64623,0.50505,0.58217,0.34737,1.47283,1.70898,1.78692,0.00054822,0.00054822,0.00054822
31,2085.56,0.75535,0.69175,1.16279,0.7067,0.70758,0.70131,0.43052,1.27254,1.20592,1.67942,0.000540607,0.000540607,0.000540607
32,2135.38,0.76726,0.67694,1.17594,0.62456,0.46452,0.49853,0.2898,1.30926,2.07541,1.64845,0.000532994,0.000532994,0.000532994
33,2190.99,0.70076,0.62094,1.1239,0.5965,0.56419,0.54278,0.33412,1.3889,1.72274,1.70108,0.000525381,0.000525381,0.000525381
34,2251.1,0.69425,0.60766,1.11285,0.58589,0.55122,0.56112,0.30878,1.35698,2.02925,1.6462,0.000517768,0.000517768,0.000517768
35,2308.24,0.71629,0.63486,1.12878,0.67068,0.5798,0.64158,0.40261,1.32063,1.54658,1.62167,0.000510155,0.000510155,0.000510155
36,2358.68,0.6908,0.60834,1.13776,0.38266,0.52045,0.50097,0.2701,1.47476,2.31833,1.69755,0.000502541,0.000502541,0.000502541
37,2414,0.67706,0.6092,1.1273,0.78971,0.48737,0.66691,0.38781,1.33107,1.46815,1.65281,0.000494928,0.000494928,0.000494928
38,2473.19,0.69841,0.59749,1.12943,0.64302,0.6494,0.63204,0.36591,1.36283,1.4747,1.64258,0.000487315,0.000487315,0.000487315
39,2530.39,0.6723,0.56436,1.11636,0.80131,0.51443,0.65833,0.38846,1.31033,1.60121,1.64104,0.000479702,0.000479702,0.000479702
40,2579.18,0.67719,0.59068,1.11902,0.54027,0.6798,0.5859,0.36974,1.2148,1.47369,1.50766,0.000472089,0.000472089,0.000472089
41,2638.96,0.67136,0.5764,1.11323,0.60569,0.54804,0.60713,0.38164,1.29599,1.85334,1.63368,0.000464476,0.000464476,0.000464476
42,2690.76,0.6309,0.54784,1.10946,0.59403,0.53434,0.58488,0.3605,1.32198,1.81108,1.70247,0.000456863,0.000456863,0.000456863
43,2747.73,0.66021,0.57443,1.09312,0.83439,0.40455,0.6114,0.3793,1.3534,1.62386,1.6722,0.00044925,0.00044925,0.00044925
44,2797.67,0.61693,0.53483,1.08668,0.65771,0.56822,0.59688,0.39445,1.20385,1.66823,1.53175,0.000441637,0.000441637,0.000441637
45,2856.84,0.62065,0.52493,1.07374,0.54308,0.66162,0.60331,0.37841,1.34045,1.64017,1.63613,0.000434024,0.000434024,0.000434024
46,2915.38,0.61909,0.53582,1.0899,0.55514,0.46964,0.51976,0.32631,1.33671,2.06753,1.66259,0.000426411,0.000426411,0.000426411
47,2956.34,0.63101,0.54056,1.09686,0.81907,0.44242,0.62124,0.34949,1.35211,1.86635,1.6447,0.000418797,0.000418797,0.000418797
48,3002.81,0.61872,0.49859,1.08346,0.61664,0.67326,0.69216,0.41956,1.29733,1.35251,1.62181,0.000411184,0.000411184,0.000411184
49,3060.18,0.61541,0.51693,1.0842,0.75346,0.49594,0.61668,0.37151,1.33932,1.85334,1.63116,0.000403571,0.000403571,0.000403571
50,3117.62,0.59172,0.50481,1.0627,0.73498,0.44882,0.53617,0.33705,1.27106,2.24361,1.63092,0.000395958,0.000395958,0.000395958
51,3178.52,0.58134,0.48376,1.0682,0.76237,0.60266,0.64721,0.38785,1.29352,1.73575,1.60054,0.000388345,0.000388345,0.000388345
52,3231.72,0.57032,0.49306,1.06181,0.74501,0.6104,0.69405,0.42467,1.31877,1.35753,1.61208,0.000380732,0.000380732,0.000380732
53,3293.1,0.57635,0.47217,1.05221,0.62968,0.56923,0.64294,0.40211,1.36619,1.497,1.70963,0.000373119,0.000373119,0.000373119
54,3350.29,0.61161,0.50286,1.08356,0.6762,0.61566,0.64744,0.39372,1.34477,1.46578,1.72306,0.000365506,0.000365506,0.000365506
55,3431.42,0.58276,0.48905,1.06307,0.62652,0.53572,0.61301,0.41723,1.25097,1.54531,1.56191,0.000357893,0.000357893,0.000357893
56,3497.46,0.5472,0.44756,1.03564,0.76091,0.52916,0.62161,0.39137,1.33158,1.76392,1.65438,0.00035028,0.00035028,0.00035028
57,3562.91,0.55654,0.45161,1.03642,0.69539,0.56162,0.60199,0.37833,1.26088,2.01465,1.59324,0.000342666,0.000342666,0.000342666
58,3636.2,0.5387,0.43397,1.03268,0.73299,0.49697,0.62419,0.39901,1.35131,1.75882,1.71419,0.000335053,0.000335053,0.000335053
59,3689.43,0.54968,0.4427,1.042,0.57691,0.65253,0.6177,0.38627,1.38014,1.72257,1.72395,0.00032744,0.00032744,0.00032744
60,3746.62,0.54438,0.43053,1.0301,0.60066,0.56061,0.59388,0.38444,1.3442,1.80365,1.6825,0.000319827,0.000319827,0.000319827
61,3797.73,0.5318,0.45651,1.04391,0.69882,0.53384,0.62368,0.38702,1.28839,1.79184,1.61197,0.000312214,0.000312214,0.000312214
62,3859.72,0.53898,0.44084,1.03447,0.72164,0.65186,0.70265,0.44758,1.26503,1.38958,1.57869,0.000304601,0.000304601,0.000304601
63,3922.49,0.53005,0.44337,1.03061,0.72249,0.63056,0.67284,0.4343,1.21962,1.63203,1.52958,0.000296988,0.000296988,0.000296988
64,3983.11,0.54166,0.43641,1.04557,0.79732,0.44192,0.61485,0.38404,1.2663,1.99941,1.59475,0.000289375,0.000289375,0.000289375
65,4046.15,0.51458,0.40908,1.02381,0.71355,0.61289,0.66398,0.43912,1.19609,1.64657,1.58158,0.000281762,0.000281762,0.000281762
66,4096.8,0.52696,0.41419,1.01934,0.58587,0.63196,0.58396,0.35078,1.25538,2.08234,1.59249,0.000274148,0.000274148,0.000274148
67,4156.56,0.52039,0.41564,1.01804,0.65017,0.60707,0.64285,0.4121,1.29787,1.76751,1.65782,0.000266535,0.000266535,0.000266535
68,4216.44,0.50139,0.41267,1.01595,0.60428,0.64667,0.64519,0.41783,1.22742,1.66424,1.54928,0.000258922,0.000258922,0.000258922
69,4286.22,0.50043,0.40635,1.01716,0.68525,0.63434,0.68791,0.43431,1.33244,1.52621,1.67723,0.000251309,0.000251309,0.000251309
70,4357.33,0.49932,0.40073,1.02023,0.78481,0.4956,0.64792,0.42193,1.2823,1.77061,1.64004,0.000243696,0.000243696,0.000243696
71,4419.48,0.49775,0.39886,1.01105,0.62819,0.55186,0.63318,0.39674,1.28222,1.9227,1.62619,0.000236083,0.000236083,0.000236083
72,4473.38,0.47581,0.37234,0.99955,0.65287,0.63031,0.64368,0.4014,1.25934,1.63316,1.57753,0.00022847,0.00022847,0.00022847
73,4537.88,0.47658,0.40189,1.01407,0.67999,0.56111,0.6249,0.38997,1.26635,1.88268,1.61894,0.000220857,0.000220857,0.000220857
74,4603.04,0.45884,0.36813,0.98592,0.65986,0.51412,0.59055,0.37834,1.22344,2.15125,1.58155,0.000213244,0.000213244,0.000213244
75,4661.71,0.46019,0.36294,0.99979,0.7364,0.53938,0.61724,0.40003,1.18168,1.90456,1.54477,0.000205631,0.000205631,0.000205631
76,4728.99,0.44591,0.34515,0.98576,0.75701,0.45051,0.5855,0.3915,1.18212,1.74553,1.57534,0.000198018,0.000198018,0.000198018
77,4796.44,0.48096,0.38145,1.01057,0.81578,0.47096,0.62208,0.41133,1.20178,1.53424,1.56608,0.000190404,0.000190404,0.000190404
78,4855.34,0.4634,0.35982,0.99292,0.83292,0.48635,0.64707,0.4217,1.22075,1.56958,1.58866,0.000182791,0.000182791,0.000182791
79,4936.7,0.45452,0.37319,0.99453,0.72258,0.57735,0.65194,0.43316,1.2232,1.60457,1.58992,0.000175178,0.000175178,0.000175178
80,4996.47,0.44453,0.36099,0.99002,0.62542,0.57879,0.64432,0.42893,1.24689,1.66162,1.61502,0.000167565,0.000167565,0.000167565
81,5058.08,0.42998,0.34154,0.98534,0.67047,0.57989,0.68089,0.45627,1.25775,1.60285,1.62387,0.000159952,0.000159952,0.000159952
82,5112.53,0.42477,0.34289,0.98255,0.642,0.61153,0.68635,0.43904,1.30574,1.47242,1.66931,0.000152339,0.000152339,0.000152339
83,5174.86,0.43693,0.34248,0.98392,0.78305,0.50003,0.66119,0.43336,1.26895,1.50776,1.5996,0.000144726,0.000144726,0.000144726
84,5224.96,0.4373,0.34326,0.98085,0.64792,0.57709,0.66167,0.43317,1.29311,1.60802,1.63254,0.000137113,0.000137113,0.000137113
85,5284.04,0.42182,0.33554,0.98118,0.64584,0.62454,0.65468,0.42664,1.26356,1.5754,1.63186,0.0001295,0.0001295,0.0001295
86,5351.93,0.43334,0.34128,0.98526,0.65518,0.61894,0.66109,0.4387,1.27102,1.63041,1.62739,0.000121887,0.000121887,0.000121887
87,5422.1,0.4232,0.33569,0.98177,0.69037,0.64293,0.66125,0.43542,1.27841,1.74614,1.59873,0.000114273,0.000114273,0.000114273
88,5485.02,0.40334,0.32801,0.97018,0.72441,0.54161,0.64811,0.40452,1.29057,1.84577,1.59722,0.00010666,0.00010666,0.00010666
89,5549.7,0.41845,0.34123,0.9778,0.67434,0.61566,0.67868,0.42531,1.28773,1.72773,1.62502,9.90472e-05,9.90472e-05,9.90472e-05
90,5615.86,0.40636,0.31785,0.97725,0.65974,0.65253,0.69313,0.4548,1.28175,1.58631,1.64367,9.14341e-05,9.14341e-05,9.14341e-05
91,5698.26,0.33014,0.25835,0.90674,0.65462,0.62475,0.6386,0.41316,1.33071,1.71304,1.70599,8.3821e-05,8.3821e-05,8.3821e-05
92,5759.83,0.31188,0.235,0.89656,0.7127,0.5776,0.67268,0.44037,1.3266,1.75939,1.68896,7.62079e-05,7.62079e-05,7.62079e-05
93,5819.12,0.30826,0.22762,0.9016,0.6369,0.65253,0.68279,0.44036,1.30055,1.74094,1.66951,6.85948e-05,6.85948e-05,6.85948e-05
94,5870.62,0.29629,0.22677,0.89809,0.7036,0.61616,0.69077,0.45713,1.26309,1.64706,1.65239,6.09817e-05,6.09817e-05,6.09817e-05
95,5934.19,0.28213,0.22873,0.8864,0.69087,0.64937,0.67883,0.45193,1.24296,1.67336,1.64746,5.33686e-05,5.33686e-05,5.33686e-05
